month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,remaining_years
2013-01,BEDOK,EXECUTIVE,634,BEDOK RESERVOIR RD,10 TO 12,144.0,Apartment,1993,755000.0,69
2013-01,BISHAN,EXECUTIVE,160,BISHAN ST 13,01 TO 03,144.0,Maisonette,1987,748000.0,63
2013-01,BISHAN,EXECUTIVE,401,SIN MING AVE,01 TO 03,155.0,Maisonette,1985,800000.0,61
2013-01,BISHAN,EXECUTIVE,186,BISHAN ST 13,01 TO 03,146.0,Maisonette,1987,820000.0,63
2013-01,BISHAN,EXECUTIVE,244,BISHAN ST 22,01 TO 03,149.0,Maisonette,1992,860000.0,68
2013-01,BISHAN,EXECUTIVE,222,BISHAN ST 23,10 TO 12,154.0,Maisonette,1992,950000.0,68
2013-01,BUKIT BATOK,EXECUTIVE,354,BT BATOK ST 31,04 TO 06,148.0,Maisonette,1987,630000.0,63
2013-01,BUKIT BATOK,EXECUTIVE,512,BT BATOK ST 52,01 TO 03,152.0,Maisonette,1987,665000.0,63
2013-01,BUKIT BATOK,EXECUTIVE,354,BT BATOK ST 31,04 TO 06,154.0,Maisonette,1987,675000.0,63
2013-01,BUKIT BATOK,EXECUTIVE,290C,BT BATOK EAST AVE 3,13 TO 15,141.0,Apartment,1997,753000.0,73
2013-01,BUKIT BATOK,EXECUTIVE,289D,BT BATOK ST 25,04 TO 06,165.0,Maisonette,1997,938000.0,73
2013-01,BUKIT PANJANG,EXECUTIVE,470,SEGAR RD,01 TO 03,130.0,Premium Apartment,2002,510000.0,78
2013-01,BUKIT PANJANG,EXECUTIVE,473,SEGAR RD,01 TO 03,128.0,Premium Apartment,2003,533000.0,79
2013-01,BUKIT PANJANG,EXECUTIVE,471,SEGAR RD,07 TO 09,133.0,Premium Apartment,2002,553000.0,78
2013-01,BUKIT PANJANG,EXECUTIVE,525,JELAPANG RD,04 TO 06,144.0,Apartment,1998,570000.0,74
2013-01,BUKIT PANJANG,EXECUTIVE,147,GANGSA RD,04 TO 06,142.0,Apartment,1988,622500.0,64
2013-01,BUKIT PANJANG,EXECUTIVE,184,JELEBU RD,19 TO 21,124.0,Premium Apartment,2003,738000.0,79
2013-01,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,13 TO 15,150.0,Maisonette,1988,908000.0,64
2013-01,CHOA CHU KANG,EXECUTIVE,101,TECK WHYE LANE,01 TO 03,142.0,Apartment,1989,549000.0,65
2013-01,CHOA CHU KANG,EXECUTIVE,530,CHOA CHU KANG ST 51,04 TO 06,142.0,Apartment,1995,550000.0,71
2013-01,CHOA CHU KANG,EXECUTIVE,272,CHOA CHU KANG AVE 2,04 TO 06,147.0,Apartment,1993,565000.0,69
2013-01,CHOA CHU KANG,EXECUTIVE,681,CHOA CHU KANG CRES,01 TO 03,144.0,Premium Apartment,1999,577000.0,75
2013-01,CHOA CHU KANG,EXECUTIVE,678,CHOA CHU KANG CRES,04 TO 06,144.0,Premium Apartment,1999,600000.0,75
2013-01,CHOA CHU KANG,EXECUTIVE,203,CHOA CHU KANG AVE 1,07 TO 09,142.0,Apartment,1989,610000.0,65
2013-01,CHOA CHU KANG,EXECUTIVE,204,CHOA CHU KANG AVE 1,10 TO 12,149.0,Maisonette,1989,615000.0,65
2013-01,CHOA CHU KANG,EXECUTIVE,453,CHOA CHU KANG AVE 4,01 TO 03,142.0,Premium Apartment,2000,620000.0,76
2013-01,CHOA CHU KANG,EXECUTIVE,453,CHOA CHU KANG AVE 4,07 TO 09,142.0,Premium Apartment,2000,620000.0,76
2013-01,CHOA CHU KANG,EXECUTIVE,204,CHOA CHU KANG AVE 1,07 TO 09,146.0,Maisonette,1989,635000.0,65
2013-01,CHOA CHU KANG,EXECUTIVE,603,CHOA CHU KANG ST 62,07 TO 09,147.0,Apartment,1996,645000.0,72
2013-01,CHOA CHU KANG,EXECUTIVE,561,CHOA CHU KANG NTH 6,10 TO 12,154.0,Maisonette,1996,680000.0,72
2013-01,CLEMENTI,EXECUTIVE,201,CLEMENTI AVE 6,07 TO 09,147.0,Apartment,1985,875000.0,61
2013-01,GEYLANG,EXECUTIVE,846,SIMS AVE,04 TO 06,149.0,Maisonette,1985,800000.0,61
2013-01,HOUGANG,EXECUTIVE,638,HOUGANG AVE 8,01 TO 03,148.0,Maisonette,1987,605000.0,63
2013-01,HOUGANG,EXECUTIVE,972,HOUGANG ST 91,07 TO 09,137.0,Apartment,1999,615500.0,75
2013-01,HOUGANG,EXECUTIVE,668,HOUGANG AVE 8,01 TO 03,147.0,Maisonette,1988,630000.0,64
2013-01,HOUGANG,EXECUTIVE,634,HOUGANG AVE 8,07 TO 09,148.0,Maisonette,1987,630000.0,63
2013-01,HOUGANG,EXECUTIVE,712,HOUGANG AVE 2,10 TO 12,154.0,Maisonette,1986,695000.0,62
2013-01,HOUGANG,EXECUTIVE,508,HOUGANG AVE 10,04 TO 06,146.0,Maisonette,1987,715000.0,63
2013-01,HOUGANG,EXECUTIVE,834,HOUGANG CTRL,04 TO 06,147.0,Maisonette,1992,715000.0,68
2013-01,HOUGANG,EXECUTIVE,833,HOUGANG CTRL,01 TO 03,147.0,Maisonette,1992,715000.0,68
2013-01,HOUGANG,EXECUTIVE,446,HOUGANG AVE 8,10 TO 12,146.0,Maisonette,1991,720000.0,67
2013-01,HOUGANG,EXECUTIVE,374,HOUGANG ST 31,04 TO 06,144.0,Apartment,2000,780000.0,76
2013-01,HOUGANG,EXECUTIVE,834,HOUGANG CTRL,04 TO 06,153.0,Maisonette,1992,815000.0,68
2013-01,HOUGANG,EXECUTIVE,235,HOUGANG ST 21,01 TO 03,146.0,Apartment,1984,818000.0,60
2013-01,JURONG EAST,EXECUTIVE,337,JURONG EAST AVE 1,01 TO 03,147.0,Maisonette,1985,600000.0,61
2013-01,JURONG EAST,EXECUTIVE,287C,JURONG EAST ST 21,04 TO 06,143.0,Apartment,1998,730000.0,74
2013-01,JURONG WEST,EXECUTIVE,274B,JURONG WEST ST 25,01 TO 03,126.0,Apartment,2002,510000.0,78
2013-01,JURONG WEST,EXECUTIVE,910,JURONG WEST ST 91,10 TO 12,142.0,Apartment,1988,515000.0,64
2013-01,JURONG WEST,EXECUTIVE,274B,JURONG WEST ST 25,04 TO 06,126.0,Apartment,2002,532000.0,78
2013-01,JURONG WEST,EXECUTIVE,753,JURONG WEST ST 74,01 TO 03,147.0,Apartment,1995,537000.0,71
2013-01,JURONG WEST,EXECUTIVE,842,JURONG WEST ST 81,04 TO 06,147.0,Apartment,1993,538000.0,69
2013-01,JURONG WEST,EXECUTIVE,862,JURONG WEST ST 81,01 TO 03,146.0,Maisonette,1996,555000.0,72
2013-01,JURONG WEST,EXECUTIVE,671A,JURONG WEST ST 65,16 TO 18,126.0,Apartment,2002,570000.0,78
2013-01,JURONG WEST,EXECUTIVE,628,JURONG WEST ST 65,04 TO 06,130.0,Apartment,2001,575000.0,77
2013-01,JURONG WEST,EXECUTIVE,726,JURONG WEST AVE 5,04 TO 06,146.0,Maisonette,1992,588888.0,68
2013-01,JURONG WEST,EXECUTIVE,627,JURONG WEST ST 65,04 TO 06,130.0,Apartment,2001,590000.0,77
2013-01,JURONG WEST,EXECUTIVE,656A,JURONG WEST ST 61,04 TO 06,132.0,Apartment,2002,603000.0,78
2013-01,JURONG WEST,EXECUTIVE,671C,JURONG WEST ST 65,10 TO 12,125.0,Apartment,2002,610000.0,78
2013-01,JURONG WEST,EXECUTIVE,679A,JURONG WEST CTRL 1,16 TO 18,134.0,Premium Apartment,2000,615000.0,76
2013-01,JURONG WEST,EXECUTIVE,669B,JURONG WEST ST 64,16 TO 18,130.0,Apartment,2000,617000.0,76
2013-01,JURONG WEST,EXECUTIVE,656C,JURONG WEST ST 61,13 TO 15,132.0,Apartment,2001,620000.0,77
2013-01,JURONG WEST,EXECUTIVE,601,JURONG WEST ST 62,07 TO 09,134.0,Premium Apartment,2001,630000.0,77
2013-01,JURONG WEST,EXECUTIVE,681A,JURONG WEST CTRL 1,10 TO 12,135.0,Premium Apartment,2000,685000.0,76
2013-01,PASIR RIS,EXECUTIVE,241,PASIR RIS ST 21,04 TO 06,156.0,Apartment,1993,610000.0,69
2013-01,PASIR RIS,EXECUTIVE,645,PASIR RIS DR 10,04 TO 06,146.0,Apartment,1995,612000.0,71
2013-01,PASIR RIS,EXECUTIVE,714,PASIR RIS ST 72,04 TO 06,148.0,Apartment,1996,622000.0,72
2013-01,PASIR RIS,EXECUTIVE,224,PASIR RIS ST 21,07 TO 09,149.0,Apartment,1993,625000.0,69
2013-01,PASIR RIS,EXECUTIVE,133,PASIR RIS ST 11,04 TO 06,147.0,Apartment,1994,633000.0,70
2013-01,PASIR RIS,EXECUTIVE,646,PASIR RIS DR 10,07 TO 09,150.0,Apartment,1995,635000.0,71
2013-01,PASIR RIS,EXECUTIVE,224,PASIR RIS ST 21,10 TO 12,149.0,Apartment,1993,638000.0,69
2013-01,PASIR RIS,EXECUTIVE,129,PASIR RIS ST 11,07 TO 09,146.0,Maisonette,1988,650000.0,64
