town,flat_type,flat_model,floor_area_sqm,street_name,resale_price,month,lease_commence_date,storey_range,block,remaining_lease,address,full_address,lat,long,nearest_mrt,nearest_distance_to_mrt
ANG MO KIO,4 ROOM,New Generation,93,ANG MO KIO AVE 1,402000,2010-09,1981,10 TO 12,333,70,333 ANG MO KIO AVE 1,333 ANG MO KIO AVENUE 1 TECK GHEE VIEW SINGAPORE 560333,1.361342556,103.8516986,ang mo kio,0.984
ANG MO KIO,4 ROOM,New Generation,98,ANG MO KIO AVE 3,298000,2004-03,1978,07 TO 09,302,73,302 ANG MO KIO AVE 3,302 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560302,1.367089832,103.8456602,ang mo kio,0.536
ANG MO KIO,4 ROOM,New Generation,93,ANG MO KIO AVE 1,225000,2006-02,1981,01 TO 03,332,74,332 ANG MO KIO AVE 1,332 ANG MO KIO AVENUE 1 TECK GHEE VIEW SINGAPORE 560332,1.361670308,103.8519555,ang mo kio,0.957
ANG MO KIO,4 ROOM,New Generation,91,ANG MO KIO AVE 1,212500,2002-08,1978,10 TO 12,226,75,226 ANG MO KIO AVE 1,226 ANG MO KIO AVENUE 1 SINGAPORE 560226,1.367728032,103.838405,mayflower,0.463
ANG MO KIO,4 ROOM,New Generation,99,ANG MO KIO AVE 10,486888,2015-01,1979,07 TO 09,418,63,418 ANG MO KIO AVE 10,418 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560418,1.364946014,103.8540434,ang mo kio,0.746
ANG MO KIO,4 ROOM,New Generation,92,ANG MO KIO AVE 10,440000,2014-08,1980,10 TO 12,558,65,558 ANG MO KIO AVE 10,558 ANG MO KIO AVENUE 10 SINGAPORE 560558,1.371236133,103.859192,ang mo kio,1.081
ANG MO KIO,4 ROOM,New Generation,91,ANG MO KIO AVE 10,328888,2009-07,1981,07 TO 09,541,71,541 ANG MO KIO AVE 10,541 ANG MO KIO AVENUE 10 MY FIRST SKOOL SINGAPORE 560541,1.373922387,103.8556214,ang mo kio,0.807
ANG MO KIO,4 ROOM,New Generation,98,ANG MO KIO AVE 3,565000,2016-06,1978,10 TO 12,346,60,346 ANG MO KIO AVE 3,346 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560346,1.367095869,103.8496623,ang mo kio,0.316
ANG MO KIO,4 ROOM,New Generation,98,ANG MO KIO AVE 4,285000,2008-03,1978,10 TO 12,107,69,107 ANG MO KIO AVE 4,107 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560107,1.371384001,103.8373814,mayflower,0.091
ANG MO KIO,4 ROOM,New Generation,93,ANG MO KIO AVE 5,248000,2000-09,1981,01 TO 03,502,80,502 ANG MO KIO AVE 5,502 ANG MO KIO AVENUE 5 PCF SPARKLETOTS PRESCHOOL @ CHENG SAN-SELETAR 502 (CC) SINGAPORE 560502,1.375724741,103.8499343,ang mo kio,0.645
